Latitude,Longitude,HS,UCL,LCL,Altitud_90m,Altitud_150m,Altitud_300m,Band_9_300m,Band_10_300m,Band_11_150m,Band_11_300m,Costo_mov_300m,Dist_Bosque_90m,Dist_Bosque_150m,Dist_Bosque_300m,Dist_corredor_90m,Dist_Corredor_150m,Dist_Corredor_300m,NBRI_300m,Resistencia_150m,Resistencia_300m,Label
6.024535252,-75.41377423,10.340337,10.340337,-8.338982,2147.096774,2143.860759,2142.740625,0.002172058,294.7256399,292.4376955,291.813795,5.163333333,2374.625657,2373.882658,2359.696455,4740.473371,4737.972025,4739.427516,0.173485862,145.339708,139.1326571,0
6.024466893,-75.41369123,10.056251,10.056251,-8.5173,2147.137931,2143.810127,2142.801887,0.002166738,294.720661,292.4160527,291.8142629,5.153061224,2358.722825,2361.257421,2349.146208,4745.95874,4747.355019,4747.082984,0.175413173,146.662074,138.9410243,0
6.024398533,-75.41360822,9.814979,9.814979,-8.654068,2146.111111,2143.423077,2142.69906,0.002158946,294.7101506,292.3878279,291.811462,5.14,2347.840524,2348.083822,2338.792173,4752.216128,4754.16427,4758.500663,0.174902751,146.0844611,139.0345772,0
6.024331395,-75.41352521,9.615801,9.615801,-8.749985,2144.966667,2143.037037,2142.646875,0.002151783,294.6967204,292.4148217,291.7999176,5.120401338,2338.991817,2336.360371,2326.693724,4761.31779,4763.002354,4763.17453,0.173557781,146.7168435,138.7640373,0
6.024263035,-75.41344098,9.405829,9.405829,-8.857916,2143.833333,2142.91358,2142.59375,0.002123776,294.7153803,292.3855606,291.8193643,5.110738255,2323.4104,2326.350227,2318.114334,4767.900251,4770.21512,4770.518463,0.173744923,146.7150672,139.025987,0
6.024195897,-75.41335797,9.237134,9.237134,-8.92577,2143.37931,2142.628205,2142.639241,0.002117493,294.7140038,292.4442076,291.8207279,5.100671141,2310.578718,2313.322747,2307.647997,4776.676862,4776.682103,4778.822287,0.17580783,146.7133042,138.7585877,0
6.024127537,-75.41327497,9.044522,9.044522,-9.018718,2141,2142.602564,2142.373418,0.00210827,294.69838,292.3740489,291.8137221,5.09,2298.160958,2303.042059,2296.395668,4780.221267,4783.32668,4787.543764,0.172359968,147.0649483,138.969697,0
6.024059178,-75.41319074,8.775377,8.775377,-9.185921,2140.896552,2142.580247,2142.253125,0.002104566,294.6827193,292.3087403,291.8019036,5.073333333,2290.936965,2290.392147,2280.284044,4792.035945,4792.060624,4792.449803,0.173699673,147.062148,139.102737,0
6.023990819,-75.41310773,8.344492,9.616519,-8.191849,2139.928571,2142.594937,2142.211356,0.002102685,294.6794191,292.2638515,291.7998334,5.066889632,2274.224112,2277.481042,2274.529523,4801.909633,4798.942184,4800.219823,0.174584189,145.9962677,139.2659101,0
6.023922459,-75.41302472,7.972415,9.233873,-8.42654,2138.75,2142.848101,2142.012618,0.002094605,294.6658209,292.2378196,291.7884589,5.052631579,2266.991185,2266.200387,2262.810544,4807.39502,4807.437573,4807.933523,0.175450898,147.286825,139.2150563,0
6.023855321,-75.41294171,7.544887,8.796113,-8.721039,2137.857143,2142.95,2141.927673,0.002086506,294.6188166,292.1100697,291.7471096,5.033557047,2254.57346,2255.239212,2249.52618,4812.887434,4815.447331,4815.657233,0.174606566,146.258374,139.4637152,0
6.023786961,-75.41285871,7.092329,9.576508,-9.05483,2138.034483,2142.65,2141.943396,0.002083329,294.59383,291.9934402,291.7290351,5.029801325,2245.325022,2243.419771,2237.072242,4822.765418,4822.859895,4822.629625,0.176381236,147.3219342,139.4721032,0
6.023719822,-75.4127757,6.979357,9.449926,-9.079341,2138.535714,2142.797468,2141.908517,0.002075926,294.6117425,291.9355109,291.746203,5.02006689,2228.122502,2231.557341,2227.855189,4831.870262,4830.017785,4827.344174,0.175987711,147.3216675,139.5981912,0
6.023651463,-75.41269269,6.750955,9.205848,-9.205848,2139.142857,2142.772152,2141.899054,0.002073578,294.5862764,291.8280041,291.7242793,5.013289037,2217.309352,2219.880797,2216.498001,4838.155064,4837.278308,4837.094738,0.178162707,147.0948167,139.5997083,0
6.023583104,-75.41260846,5.893157,8.298527,-8.539064,2139.862069,2142.730769,2141.93038,0.002067389,294.5272847,291.7286275,291.6719844,5.003355705,2206.395498,2206.548369,2205.129557,4846.94894,4844.795905,4845.509579,0.178618741,146.6935214,139.7276852,0
6.023514744,-75.41252545,8.45409,7.274998,-8.053199,2141.185185,2142.371795,2141.907937,0.002061193,294.5333639,291.6354761,291.6771857,5,2195.543579,2196.462272,2193.352281,4853.54126,4852.039972,4852.936395,0.176919423,146.0406062,139.5637406,1
6.023447606,-75.41244245,7.621887,7.621887,-6.257118,2142.1,2141.975309,2141.88125,0.00205324,294.5171453,291.5492245,291.6652052,5,2184.665584,2185.495083,2184.349846,4859.507005,4860.910651,4857.6369,0.175712491,147.3211342,139.9290574,0
6.023379246,-75.41235822,6.742399,6.742399,-6.878609,2142.931034,2141.848101,2141.863924,0.002047118,294.5069639,291.4528314,291.6566875,5,2170.653619,2171.814054,2171.367581,4868.970075,4867.836109,4869.227239,0.174114909,147.3656966,140.159455,0
6.023312108,-75.41227521,6.236496,8.475813,-7.199402,2143.925926,2141.87013,2141.908805,0.002042365,294.4494479,291.2712501,291.607903,5,2158.294625,2161.88981,2160.645787,4874.531546,4873.154316,4876.960625,0.175722166,147.5515819,140.1591212,0
6.023243748,-75.4121922,6.57418,7.673541,-7.717515,2144.482759,2141.777778,2141.887147,0.002035233,294.4292434,291.3102504,291.5938805,5,2145.876378,2148.6574,2148.582392,4884.461465,4884.699686,4885.764848,0.172582095,146.3082243,140.2943363,0
6.023175389,-75.4121092,5.78596,6.867448,-8.273383,2145.133333,2141.825,2142.015576,0.002029899,294.3939424,291.2309868,291.5639394,5,2141.208984,2139.503714,2134.941716,4894.43335,4891.718763,4889.95055,0.168633599,146.8331056,140.5280916,0
6.02310703,-75.41202619,6.744586,7.801732,-8.055447,2144.862069,2141.8875,2141.886435,0.002026404,294.358631,291.2191078,291.533649,5,2119.482464,2122.929262,2128.603894,4894.543631,4898.889534,4900.227563,0.166835847,146.2114928,140.3944006,0
6.02303867,-75.41194318,6.427636,7.477904,-7.225839,2144.857143,2141.797468,2141.958991,0.001985178,294.3180516,291.087439,291.5033212,5,2114.838702,2114.055972,2115.101877,4900.647298,4905.112643,4907.755874,0.165469191,146.182316,140.6276572,0
