Latitude,Longitude,HS,UCL,LCL_,Altitud_90m,Altitud_150m,Altitud_300m,band_9_300m,band_10_300m,band_11_150m,band_11_300m,Costo de Movimiento_300m,Distancia a Bosque_90m,Distancia a Bosque_150m,Distancia a Bosque_300m,Distancia a corredor biologico_90m,Distancia a corredor biologico_150m,Distancia a corredor biologico_300m,NBRI_300m,Resistencia_150m,Resistencia_300m,Label
6.093414139,-75.33849672,-4.148068,6.704436," -10.177237",2150.078857,2152.813333,2152.956811,0.001394471,295.8386289,293.3867442,292.8723796,0.397993311,2934.783203,2919.270855,2879.851588,701.8692017,707.7993999,716.188007,-0.105022961,153.2139872,147.4929605,0
6.093552079,-75.33855409,-4.401382,7.558896," -10.381521",2149.53833,2152.4,2153.176667,0.001393575,295.8240064,293.3501019,292.8536309,0.352159468,2942.665527,2930.024351,2888.189061,695.5692139,699.6092287,709.141615,-0.103422236,154.1074007,147.4454525,0
6.093688797,-75.33861269,-4.661755,7.200217," -10.592742",2150.023682,2152.342105,2153.296667,0.001393982,295.80384,293.2950389,292.8282526,0.327759197,2950.767822,2938.323434,2899.536014,689.8605957,694.3696444,700.4294143,-0.100635596,153.7520526,147.19181,0
6.093826737,-75.33867128,-4.894369,6.870941," -10.777024",2150.578613,2152.426667,2153.318792,0.00144231,295.7666024,293.2389061,292.7934825,0.297658863,2958.924072,2948.107204,2911.78874,684.3123169,688.7321053,696.4700964,-0.09551876,153.930185,147.4242915,0
6.093964676,-75.33872987,-5.14658,7.690694," -10.981704",2150.894531,2152.28,2153.406667,0.001498088,295.7042451,293.2172409,292.7295714,0.269360269,2967.182617,2957.113105,2923.003156,679.1716309,684.0442682,690.1936372,-0.093856621,154.6931811,147.438189,0
6.094101395,-75.33878847,-5.394765,7.339659," -11.183140",2151.065186,2152.105263,2153.612795,0.001545426,295.6545021,293.1542886,292.6753831,0.237458194,2975.459717,2967.488253,2931.817798,674.3798218,679.0422555,684.6605847,-0.084365104,154.1164539,147.3554453,0
6.094240555,-75.33884584,-5.650509,6.982743,"  -9.095941",2150.775146,2152.066667,2153.632107,0.001540119,295.6344233,293.0936253,292.6525127,0.20735786,2983.741211,2976.187612,2942.436389,669.8674927,673.76361,675.8805182,-0.076964782,153.9369083,147.0883583,0
6.094377274,-75.33890443,-5.856663,7.81648,"  -9.274949",2150.28418,2152.186667,2153.506711,0.001542028,295.6031373,292.9729778,292.6212526,0.179401993,2992.154053,2985.19972,2952.46578,665.8863525,670.4256087,670.9070122,-0.069282754,153.052027,147.3056816,0
6.094513993,-75.33896181,-6.025697,7.5406,"  -9.417271",2150.394043,2151.84,2153.496644,0.001545167,295.5676537,292.944591,292.5793187,0.155405405,3000.536621,2995.791921,2965.087766,662.2636719,663.0162964,665.2957256,-0.062482955,154.6993059,147.4240817,0
6.094653153,-75.3390204,-6.228966,7.190709,"  -9.583884",2151.184814,2152.184211,2153.243333,0.001545959,295.5227698,292.8781078,292.5283926,0.13,3009.119141,3005.223081,2974.900359,658.8564453,657.479654,661.6829974,-0.055761037,153.9366451,147.3588672,0
6.094789872,-75.33907899,-6.515244,6.736099,"  -9.828079",2152.142822,2152.223684,2153.26087,0.001551554,295.4627721,292.8005599,292.4568467,0.10367893,3017.768799,3013.294626,2984.731803,656.1015625,652.3402072,653.1131518,-0.049035035,154.1182404,147.7140608,0
6.094927811,-75.33913759,-6.970386,7.210368,"  -9.152041",2153.270996,2152.306667,2153.016779,0.001549762,295.4260032,292.7935248,292.4174673,0.086092715,3026.463867,3025.790804,2995.673428,653.005249,651.8626681,646.1802467,-0.040227873,153.58309,147.4063615,0
6.095055985,-75.33921327,-7.347569,6.658061,"  -9.502282",2154.503418,2152.351351,2152.916388,0.001554815,295.3760932,292.7156395,292.3621505,0.060606061,3036.965088,3035.28073,3006.156388,650.5565186,646.5335174,643.1939147,-0.035546435,154.4943423,147.5927952,0
6.095182938,-75.3392914,-7.653063,7.248589,"  -9.781870",2155.347168,2152.766234,2152.946667,0.00150254,295.3195348,292.6362087,292.3002452,0.04620462,3047.70874,3045.112532,3021.021549,647.3331909,642.1785567,642.0242689,-0.026852875,154.1067865,147.8081261,0
6.095309891,-75.33937074,-7.974224,7.805903,"  -9.026233",2155.911377,2152.813333,2153.217391,0.001504222,295.240402,292.5053619,292.2234406,0.026490066,3058.702393,3054.665706,3029.822735,643.708313,639.9744836,636.0386042,-0.016077641,153.920329,147.5996398,0
6.095436844,-75.33945009,-6.084739,7.436903,"  -9.205118",2155.866455,2152.855263,2153.093023,0.001508527,295.1792116,292.3104445,292.1558913,0.016611296,3069.684814,3068.274954,3042.307463,640.0238037,636.6644359,634.1322346,-0.014941456,153.9136973,147.6545622,0
